STUDENT IDENTIFIER,STDNT_AGE,STDNT_GENDER,STDNT_BACKGROUND,IN_STATE_FLAG,INTERNATIONAL_STS,STDNT_TEST_ENTRANCE_COMB,FIRST_TERM,SECOND_TERM,HOUSING_STS,RETURNED_2ND_YR,DISTANCE_FROM_HOME,HIGH_SCHL_GPA,HIGH_SCHL_NAME,FATHER_HI_EDU_DESC,MOTHER_HI_EDU_DESC,DEGREE_GROUP_DESC,FIRST_TERM_ATTEMPT_HRS,FIRST_TERM_EARNED_HRS,SECOND_TERM_ATTEMPT_HRS,SECOND_TERM_EARNED_HRS,GROSS_FIN_NEED,COST_OF_ATTEND,EST_FAM_CONTRIBUTION,UNMET_NEED,Fall_GPA,Spring_GPA,Passed_Count,Failed_Count,Incomplete_Count,First_Completion_Rate,Second_Completion_Rate,Total_Attempt_Hours,Total_Earned_Hours,Total_Completion_Rate,Need_Coverage_Ratio,Unmet_Need_Ratio,Net_Cost,Financial_Difficulty,Major_Category
7809962,18,F,BGD 3,Y,N,990.0,Fall 2008,Spring 2009,On Campus,1,90.0,3.04,SCHOOL 201,High School,College/Beyond,Bachelors,16,12,17.0,17.0,989400,1306020,316620,341820.0,3.3333333333333335,2.0,6,0,0,0.75,1.0,33.0,29.0,0.8787878787878788,0.2424312031975008,0.26172646666972943,989400,1331220.0,Social Sciences
7759508,19,F,BGD 3,N,N,950.0,Fall 2008,Spring 2009,On Campus,1,150.0,3.86,SCHOOL 413,College/Beyond,College/Beyond,Bachelors,16,12,14.0,14.0,520620,588120,67500,491820.0,3.3333333333333335,2.3333333333333335,6,0,0,0.75,1.0,30.0,26.0,0.8666666666666667,0.11477249540910019,0.8362579065496837,520620,1012440.0,Business
7788474,18,F,BGD 2,N,N,870.0,Fall 2009,Spring 2010,Off Campus,1,0.0,3.12,SCHOOL 7,College/Beyond,College/Beyond,Bachelors,14,14,16.0,12.0,1183440,1324500,141060,582885.0,3.3333333333333335,2.3333333333333335,6,0,0,1.0,0.75,30.0,26.0,0.8666666666666667,0.10650056625141563,0.440079275198188,1183440,1766325.0,Arts & Humanities
7862971,18,F,BGD 1,Y,N,1110.0,Fall 2009,Spring 2010,On Campus,1,69.0,3.8,SCHOOL 87,College/Beyond,High School,Bachelors,14,13,14.0,14.0,1299540,1418100,118560,151260.0,3.0,2.3333333333333335,6,0,0,0.9285714285714286,1.0,28.0,27.0,0.9642857142857143,0.08360482335519356,0.10666384599111488,1299540,1450800.0,STEM
7911565,18,M,BGD 1,Y,N,870.0,Fall 2009,Spring 2010,On Campus,1,190.0,2.73,SCHOOL 66,College/Beyond,High School,Bachelors,13,13,14.0,14.0,895620,1418100,522480,507899.39999999997,3.3333333333333335,2.6666666666666665,6,0,0,1.0,1.0,27.0,27.0,1.0,0.3684366405754178,0.3581548550877935,895620,1403519.4,Arts & Humanities
7759032,18,F,BGD 3,Y,N,870.0,Fall 2009,Spring 2010,On Campus,1,69.0,3.06,SCHOOL 153,High School,High School,Bachelors,16,12,17.0,17.0,1413240,1418100,4860,120180.0,3.3333333333333335,2.3333333333333335,6,0,0,0.75,1.0,33.0,29.0,0.8787878787878788,0.0034271207954305054,0.0847471969536704,1413240,1533420.0,Education
7832042,18,F,BGD 1,Y,N,530.0,Fall 2009,Spring 2010,On Campus,1,150.0,2.75,SCHOOL 106,College/Beyond,High School,Bachelors,16,16,15.0,15.0,504420,1025700,521280,294420.0,3.3333333333333335,2.6666666666666665,6,0,0,1.0,1.0,31.0,31.0,1.0,0.5082187774202983,0.2870429950277859,504420,798840.0,Arts & Humanities
7869569,18,F,BGD 1,N,N,1190.0,Fall 2009,Spring 2010,On Campus,0,316.0,3.23,SCHOOL 384,College/Beyond,College/Beyond,Bachelors,14,14,14.0,14.0,0,0,0,0.0,3.3333333333333335,2.3333333333333335,6,0,0,1.0,1.0,28.0,28.0,1.0,0.0,0.0,0,0.0,STEM
8007998,18,F,BGD 1,Y,N,1110.0,Fall 2010,Spring 2011,On Campus,1,90.0,3.93,SCHOOL 333,Other/Unknown,High School,Bachelors,14,14,16.0,16.0,0,0,0,0.0,3.3333333333333335,2.0,6,0,0,1.0,1.0,30.0,30.0,1.0,0.0,0.0,0,0.0,STEM
7831178,18,M,BGD 1,N,N,950.0,Fall 2010,Spring 2011,On Campus,0,90.0,3.0,SCHOOL 52,High School,College/Beyond,Bachelors,16,16,15.0,15.0,0,0,0,0.0,3.0,2.0,6,0,0,1.0,1.0,31.0,31.0,1.0,0.0,0.0,0,0.0,STEM
7923782,18,F,BGD 3,N,N,950.0,Fall 2010,Spring 2011,On Campus,1,477.0,3.74,SCHOOL 526,College/Beyond,High School,Bachelors,13,9,15.0,15.0,0,0,0,0.0,3.0,2.0,6,0,0,0.6923076923076923,1.0,28.0,24.0,0.8571428571428571,0.0,0.0,0,0.0,Social Sciences
7816655,18,F,BGD 3,Y,N,950.0,Fall 2008,Spring 2009,Off Campus,1,0.0,3.81,SCHOOL 395,High School,High School,Bachelors,14,12,12.0,12.0,1346640,1346640,0,400200.0,3.3333333333333335,2.3333333333333335,6,0,0,0.8571428571428571,1.0,26.0,24.0,0.9230769230769231,0.0,0.2971841026554981,1346640,1746840.0,STEM
7854859,18,F,BGD 1,Y,N,530.0,Fall 2010,Spring 2011,Off Campus,1,69.0,3.4,SCHOOL 11,High School,High School,Bachelors,14,10,13.0,13.0,0,0,0,0.0,3.0,2.3333333333333335,6,0,0,0.7142857142857143,1.0,27.0,23.0,0.8518518518518519,0.0,0.0,0,0.0,Education
7902535,18,M,BGD 1,Y,N,1070.0,Fall 2007,Spring 2008,Off Campus,1,69.0,2.88,SCHOOL 10,No Information,No Information,Bachelors,12,12,12.0,12.0,0,0,0,0.0,3.3333333333333335,2.3333333333333335,6,0,0,1.0,1.0,24.0,24.0,1.0,0.0,0.0,0,0.0,Undeclared
7989459,18,F,BGD 1,N,N,950.0,Fall 2005,Spring 2006,Off Campus,1,69.0,3.64,SCHOOL 7,Middle School/Junior High,High School,Bachelors,16,16,15.0,12.0,0,835680,3140160,0.0,3.3333333333333335,2.3333333333333335,6,0,0,1.0,0.8,31.0,28.0,0.9032258064516129,3.7576105686387136,0.0,-2304480,0.0,Education
